app,developer,date reached,date published,category,pre-ins
Google Keep,Google,12/20/2020,3/20/2013,notes & productivity,no
Google Translate,Google,4/4/2021,1/1/2010,translation,no
Spotify,Spotify Ltd.,5/1/2021,5/27/2014,music & audio streaming,no
Files by Google,Google,4/1/2021,12/5/2017,storage cleaner & file manager,no
Google Clock,Google,5/1/2021,unknown date,alarm,no
Samsung Security Policy Update,Samsung,5/1/2021,unknown date,productivity,no
Samsung Notes,Samsung,6/1/2021,unknown date,notes & productivity,yes
YouTube Music,Google,6/1/2021,11/12/2015,music,yes
Free Fire,Garena,7/17/2021,9/30/2017,"games, action & shooter",no
Viber Messenger,"Viber Media, Ltd",10/2/2021,6/19/2011,communication,no
Telegram,Telegram FZ-LLC,10/15/2021,9/6/2013,communication,no
LINE,LINE Corporation,5/22/2016,6/23/2011,communication,no
HP Print Service Plugin,HP Inc.,6/11/2016,5/14/2013,printing,no
Flipboard,Flipboard,9/10/2016,6/21/2012,news & magazines,no
Pou,Zakeh,5/1/2017,8/5/2012,games & casual,no
My Talking Tom,Outfit7,7/10/2017,11/11/2013,games & casual,no
UC Browser,UCWeb Inc.,11/1/2017,10/25/2011,web browser,no
imo free video calls and chat,imo.im,12/21/2017,7/27/2010,communication,no
Temple Run 2,Imangi Studios,1/13/2018,1/23/2013,games & action,no
Hill Climb Racing,Fingersoft,10/17/2018,9/22/2012,games & racing,no
Clash of Clans,Supercell,11/16/2018,9/30/2013,games & strategy,no
Google Sheets,Google,3/21/2019,4/30/2014,spreadsheet,no
Microsoft OneNote,Microsoft,5/1/2019,2/7/2012,notes & productivity,no
PicsArt Photo Studio,PicsArt,5/2/2019,11/4/2011,photo/video editor,no
Google Slides,Google,5/18/2019,6/25/2014,presentations,no
8 Ball Pool,Miniclip.com,6/1/2019,1/23/2013,games & sports,no
Samsung Music,Samsung,6/2/2019,unknown date,music,yes
Uber,"Uber Technologies, Inc.",7/22/2019,unknown date,travel,no
B612,"SNOW, Inc.",8/1/2019,unknown date,photo/video editor,no
Messenger Lite,Meta,8/1/2019,2016-10-??,communication,no
Truecaller: ID & spam block,Truecaller,9/1/2019,7/1/2009,communication,no
Adobe Acrobat Reader,Adobe,11/22/2019,11/15/2010,document reader,no
My Talking Angela,Outfit7,12/1/2019,12/3/2014,games & casual,no
Google Calculator,Google,12/15/2019,unknown date,calculator,yes
Microsoft SwiftKey Keyboard,Microsoft,12/15/2019,2010-07-??,keyboard,no
LinkedIn,LinkedIn,3/2/2020,unknown date,business,no
Temple Run,Imangi Studios,4/1/2020,3/27/2012,games & arcade,no
Likee,LIKEME PTE.LTD.,4/2/2020,2017-07-??,video editor & social media,no
Samsung Link (Terminated),Samsung,4/2/2020,unknown date,cloud storage,no